title_de,title_ru
"Ausstellungsrundgang Kunst im Amt","Экскурсия по выставке ""Искусство в офисе"
"Movember Eishockey-Benefizturnier","Благотворительный хоккейный турнир Movember"
Martini-Markt,"Рынок мартини"
"Indoor Konzert bei alpes-tonewood","Закрытый концерт в Альп-Тонвуде"
"Theateraufführung der Heimatbühne Seeon ""Die drei Eisbären""","Театральное представление Хайматбюне Зееон ""Три белых медведя"""
"Abgesagt: Tanztheater ""Picasso, Dora Maar, das Pferd und der Stier""","Отменено: Театр танца ""Пикассо, Дора Маар, лошадь и бык"""
"Konzert shruti people","Концерт Шрути"
"DJ MichiMasu","DJ MichiMasu"
"Traunsteiner Mineralien & Fossilienbörse","Биржа минералов и окаменелостей в Траунштайне"
"MALZEIT - offener Maltreff","MALZEIT - открытая встреча с живописью"
"Skibasar in Seeon","Лыжный базар в Сионе"
"Bigband-Frühschoppen im Kulturforum Traunstein","Утренняя пинта с биг-бэндом в Культурфоруме Траунштайна"
"Dr. Döblingers geschmackvolles Kasperltheater ""KASPERL UND DER RÄUBER""","Шоу доктора Дёблера ""Касперль и грабитель"" со вкусом Панч и Джуди"
"Konzert Munich Songwriter Revival","Концерт Munich Songwriter Revival"
"Fotoworkshop zur ""blauen Stunde""","Фотомастерская для ""голубого часа"""
"Martinszug Oberwössen","Шествие Святого Мартина Обервёссен"
"Vortrag ""Villen und Veteranen - zur Landwirtschaft im römischen Bayern"" von Prof. Dr. Thomas Fischer","Лекция ""Виллы и ветераны - о сельском хозяйстве в римской Баварии"" проф. д-ра Томаса Фишера"
"Martinsfest mit Umzug in Chieming","Праздник Святого Мартина с парадом в Чиеминге"
"St. Martinsumzug","Шествие Святого Мартина"
"Martinszug in Siegsdorf","Шествие Святого Мартина в Зигсдорфе"
"St. Martin Laternenumzug","Фонарная процессия Святого Мартина"
"Seebrucker Martinszug mit Laternenumzug","Шествие в честь Святого Мартина в Зеебруке с парадом фонарей"
"Truchtlinger Martinszug mit Laternenumzug","Шествие Святого Мартина в Трухтлингене с парадом фонарей"
"Einladung zum Seniorennachmittag","Приглашение на обед для пожилых людей"
"Märchennachmittag für Erwachsene bei Kaffee und Kuchen","Сказочный полдник для взрослых с кофе и тортом"
"Seeoner Martinszug mit Laternenumzug","Шествие в честь Святого Мартина в Сионе с парадом фонарей"
"TSV Marquartstein lädt ein","TSV Marquartstein приглашает вас"
"Gemeinde Grabenstätt: Veranstaltungs- und Terminkalender 2026","Муниципалитет Грабенштетта: календарь событий и дат на 2026 год"
"Jahreshauptversammlung 2025 des Bürgervereins Chieming e. V.","Годовое общее собрание 2025 ассоциации граждан Chieming e. V."
"Vortrag - Geschwister im Glauben","Лекция - Братья и сестры по вере"
"Pettersson und Findus ""Pettersson kriegt Weihnachtsbesuch""","Петтерссон и Финдус ""Петтерссон получает рождественский визит"""
"1. Reparatur-Cafe","1-е ремонтное кафе"
"Informationsveranstaltung „Soziale Arbeit“ in Siegsdorf","Информационное мероприятие ""Социальная работа"" в Зигсдорфе"
"Öffentliche Vorstellung der Kandidaten","Публичная презентация кандидатов"
Herbsthoagart,"Осенний Хоагарт"
"Zwergerlmeisterschaft - Einrad","Чемпионат гномов - одноколесный велосипед"
"Gut Sossau: Hofverkauf - Regional einkaufen","Гут Соссау: фермерский магазин - покупайте местное"
"Tages-Retreat ""Ganz sein"" mit Verena","Дневной ретрит ""Будь целым"" с Вереной"
"Singen und Musizieren um den Traunsteiner Lindl","Пение и музыка в окрестностях Траунштайнер Линдл"
"Herbst Flohmarkt","Осенний блошиный рынок"
"Stark und achtsam durch die Winterzeit","Крепкий и здоровый образ жизни в зимний период"
"Kunst- und Handwerkermarkt","Художественный и ремесленный рынок"
Ortsspaziergang,"Прогулка по окрестностям"
"AUSGEBUCHT: Camba Backkurs","ОТМЕНЕНА: Курс по выпечке камбы"
"Kleine Igel schlafen gern | Ulrike Eiring","Маленькие ежики любят спать | Ульрике Айринг"
Campus-Tour,"Экскурсия по кампусу"
Gospel-Benefizkonzert,"Благотворительный концерт в честь госпела"
"Lichterfest für Jung & Alt in Marquartstein","Фестиваль света для молодых и пожилых в Марквартштайне"
Krampuskranzl,"Венок Крампуса"
"Kultur im Marxhof - Concert & CD-Release","Культура в Марксхофе - концерт и выпуск компакт-диска"
"Volkstrauertag und Jahrtag der Vereine in Erlstätt","День памяти и ежегодный день клубов в Эрльштетте"
"Der EDEN Pilgerweg - ein Hoffnungsweg für Mensch und Erde","Паломничество EDEN - путь надежды для людей и планеты"
"Volkstrauertag / Tag der Vereine","День памяти / День клубов"
"Schwungvoll in den Wandel","Полны сил для перемен"
Herbstkonzert,"Осенний концерт"
"Männerchor Grabenstätt: Jahreskonzert","Меннерхор Грабенштетта: ежегодный концерт"
"Bergen: Konzert des Männerchor Grabenstätt","Берген: Концерт мужского хора Grabenstätt"
"Faschingseröffnung in Waging am See","Открытие карнавала в Вагинг-ам-Зее"
"Ü30 Party im Chiemseer Wirtshaus","Вечеринка Ü30 в пабе Chiemsee"
"Al Dente","Аль Денте"
"Kunst- und Handwerkermarkt im SG Dorfstüberl","Художественный и ремесленный рынок в SG Dorfstüberl"
"Volkstrauertag und Jahrtag der Ortsvereine Grabenstätt","День памяти и ежегодный день местных ассоциаций Грабенштетта"
"Volkstrauertag - in Gedenken an die Opfer von Krieg und Gewalt","День памяти - в память о жертвах войны и насилия"
Volkstrauertag,"День памяти"
"Wintertee bei Otti Bauer in Seeon","Зимний чай в ресторане Otti Bauer в Зеоне"
"Gemeinsamer Volkstrauertag von Ober- und Unterwössen","Совместный День памяти Обервёссена и Унтервёссена"
"Halbtagsexkursion: Kirchen in der unmittelbaren Heimat","Экскурсия на полдня: Церкви в ближайших окрестностях"
"Tag der offenen Praxistür","День открытых дверей на практике"
"Herbstversammlung des GTEV Chiemseer Chieming e.V.","Осеннее собрание GTEV Chiemseer Chieming e.V."
Konzertstunde,"Концертный час"
"Eisi Gulp - Tagebuch eines Komikers","Эйси Гульп - Дневник комика"
"Bergen: Landfrauentag","Берген: День сельских женщин"
"Social Media für Gastgeber – Grundlagen für Ihren erfolgreichen Einstieg","Социальные сети для хозяев - основы успешного старта"
"Terminabsprache 2026","Организация даты 2026"
"Jahreshauptversammlung EC Tettenhausen","Ежегодное общее собрание EC Tettenhausen"
"Sitzung des Beirats Natur- und Klimaschutz","Заседание Консультативного совета по охране природы и климата"
"Gemeinsam kochen - gemeinsam essen","Готовим вместе - едим вместе"
"Weihnachtsfeier Frauenverein Tettenhausen","Рождественская вечеринка Ассоциации женщин Теттенхаузена"
"Jagdessen der Frauen","Женский охотничий ужин"
"Warum Milch- und Fleischprodukte vom heimischen Grünland auf den Speiseplan gehören","Почему молочные и мясные продукты с местных пастбищ должны быть в меню"
Kolpingquiz,"Викторина по колпингу"
"Ökumenischer Kinderbibeltag","Экуменический детский библейский день"
"Kino statt Schule - Stoamandl Kinderkino am Buß- und Bettag,","Кино вместо школы - детский кинотеатр Stoamandl в День молитвы и покаяния,"
"Frauengemeinschaft Grabenstätt: Basteln für den Adventsbasar","Фрауенгемайншафт Грабенштетта: рукоделие для адвентского базара"
"Ausstellungseröffnung ENTDECKUNGEN IN RÄUMEN DER KUNST","Открытие выставки DISCOVERIES IN SPACES OF ART"
"Bürgerversammlung der Gemeinde Unterwössen","Собрание граждан муниципалитета Унтервёссен"
"Stephan Zinner","Стефан Циннер"
"Lesung - Achim Bogdahn","Чтение - Ахим Богдан"
"Chieming entdecken – Heimathausführung und der Beginn der Sommerfrische","Откройте для себя Чиеминг - экскурсия по ратуше и начало летних каникул"
"Entdeckungen in Räumen der Kunst","Открытия в художественных пространствах"
Senioren-Kino,"Старший кинотеатр"
"Unterschiedliche Hunderassen - unterschiedliche Felle!","Разные породы собак - разная шерсть!"
"VdK Vortrag: Wie regle ich meinen Nachlass mit Rechtsanwalt Benedikt Gschwendner","Лекция VdK: Как организовать свое имущество с адвокатом Бенедиктом Гшвенднером"
"Vollmond-Räucherritual im Tipi im Ruhpoldinger Tal","Ритуал воскурения благовоний в полнолуние в типи в долине Рупольдинг"
"Bergen. Jahreshauptversammlung Skiclub Bergen","Ежегодное общее собрание лыжного клуба Бергена"
"Limbo of Life | Michl Müller","Лимб жизни | Michl Müller"
"22. Bundesweiter Vorlesetag in der Achental-Tourismus ""Vorlesen spricht Deine Sprache""","22-й Общенациональный день чтения вслух в Achental-Tourismus ""Чтение вслух говорит на вашем языке"""
"Bundesweiter Vorlesetag","Общенациональный день чтения вслух"
"Skiweihnacht Tettenhausen","Лыжное Рождество Теттенхаузен"
"Happy Jungle Show, Familienkonzert zum mitfiebern","Шоу ""Счастливые джунгли"", семейный концерт, чтобы разделить восторг"
"Stubenmusik im Landhaus Tanner","Салонная музыка в Landhaus Tanner"
"1. Traunsteiner Krampuslauf","1-й Траунштайнский забег крампусов"
"Grün-Ober-Verein: Vereinsschießen","Grün-Ober-Verein: Клубная стрельба"
"Warm-Up Party","Разминочная вечеринка"
"FFW Grabenstätt: Jahresabschlussfeier","FFW Grabenstätt: вечеринка в честь окончания года"
"Vortrag „Wir packen an – der Förderverein in Aktion“","Лекция ""Мы приступаем к работе - ассоциация поддержки в действии"""
"Großstadt Boazn „Barhocker“","Большой городской боазн ""Барный стул"""
"A Tribute to the Greatest","Дань уважения величайшим"
"Bergen: Kathreintanz","Берген: Kathrein dance"
"De Stianghausratschn",Штианхаусратшн
"ZSG Grabenstätt: Geburtstagsschießen","ZSG Grabenstätt: съемки в день рождения"
"Heitauer Tagesfahrt: Wochenmarkt Bozen","Однодневная экскурсия по Хайтау: еженедельный рынок Больцано"
"Adventskranzverkauf Truchtlaching","Продажа адвентных венков Трухтлахинг"
"Augentraining für gutes Sehen","Тренировка глаз для хорошего зрения"
"Unterrichtstag mit den Reiwas","День уроков с Рейвасом"
"Internationaler Markus Eicher Gedächtnis Cup","Международный кубок памяти Маркуса Айхера"
"Frauengemeinschaft Grabenstätt: Adventsbasar","Фрауенгемайншафт Грабенштетта: Адвент-базар"
"Grassauer Spiele-Starparade","Парад звезд в играх Грассау"
"VdK Ortsverband Erlstätt: Vortrag ""Wohnen im Alter""","Местная ассоциация VdK в Эрльштетте: лекция ""Жизнь в старости"""
"Glut & Glühwein","Угли и глинтвейн"
"Großer Krampuslauf Ruhpolding","Большой забег Крампуса в Рупольдинге"
Cäcilienmesse,"Сесилия Месса"
"REIWAS: ""Freier Mensch""-Tour","REIWAS: тур ""Свободный человек"""
"Generalversammlung GTEV Bergen","Генеральная ассамблея GTEV Берген"
"Paraminds – die neue Bühnenshow in Übersee","Параминды - новое зарубежное сценическое шоу"
"SK Confiserie & Weinbar: Live-Musik mit LautStaad - Austro-Pop","SK Confiserie & Wine Bar: Живая музыка с LautStaad - австро-поп"
Ehejubiläumsabend,"Вечер в честь годовщины свадьбы"
"Jugendkino & Pizza backen im Treffpunkt M","Молодежный кинотеатр и выпечка пиццы в Treffpunkt M"
"Konzert: Cheap Wine Band","Концерт: Cheap Wine Band"
"Marionetten Theater Grassau - Abschiedsvorstellung","Театр марионеток Грассау - Прощальный спектакль"
Quadrophoniker,Квадрафонический
"The Gregorian Voices","Грегорианские голоса"
"Skulls N Roses ""Night of Thunder 3.0""","Skulls N Roses ""Night of Thunder 3.0"""
"Charity Gala - Stiftung Ein Platz für Kinder","Благотворительный вечер - Фонд ""Место для детей"
"Cäcilienmesse mit der Musikkapelle Reit im Winkl","Месса Цецилии с музыкальной группой Reit im Winkl"
"Vorlesetag mit Johanna Lederer im Römermuseum Bedaium","День чтения с Йоханной Ледерер в римском музее Бедаиум"
"Aglassinger Christkindlmarkt","Рождественский рынок в Аглассинге"
Mädchenflohmarkt,"Блошиный рынок для девочек"
Pfarrversammlung,"Приходское собрание"
"Repair Cafe","Ремонтное кафе"
"Vom Umgang mit der Pubertät oder ""Die Kunst einen Kaktus zu umarmen""","Справиться с половым созреванием или ""Искусство обнимать кактус"""
"Adventskranzbinden mit dem Gartenbauverein Chieming","Изготовление адвентных венков вместе с садоводческой ассоциацией Чиеминга"
Vorspielabend,"Вечер прослушивания"
"Vorstellung des Jahresprojektes des Vereins der Chiemgau-Autoren","Презентация ежегодного проекта авторского общества Кьемгау"
"Einladung zur Jahreshauptversammlung","Приглашение на ежегодное общее собрание"
"Heute aktiv, morgen abgesichert!","Активность сегодня, безопасность завтра!"
"Kunst am Morgen ENTDECKUNGEN IN RÄUMEN DER KUNST","Искусство по утрам ДИСКАВЕРИ В ПРОСТРАНСТВАХ АРТА"
"Club der Alten Bergen: Adventfeier","Клуб Alten Bergen: Адвент-вечеринка"
"Dahoam in Schleching-Stammtisch ""Dorf der Zukunft?!""","Дахоам за столом завсегдатаев Шлехинга ""Деревня будущего?!"""
"Ernst Rappel","Эрнст Раппель"
"Goldener Atem","Золотое дыхание"
"Traunreuter Christkindlmarkt auf dem Marktplatz in der Eichendorffstraße","Рождественский рынок Траунройта на рыночной площади на Айхендорфштрассе"
"Bergen. Auftakt in die Winterzeit-Hüttenparty","Начало зимней вечеринки в хижине"
"Englischer Abend ""The Future of Society"" - Brave New World and other Literary Visions","Английский вечер ""Будущее общества"" - Brave New World и другие литературные видения"
"Stammtisch für ehrenamtliche Betreuer, Bevollmächtigte, Angehörige und jeden Interessierten","Постоянный стол для добровольных помощников, уполномоченных представителей, родственников и всех интересующихся"
Maloom,Малум
FLASYD,FLASYD
"Der gestiefelte Kater für Kiga`s & Schulen | Musikbühne Mannheim","Кот в сапогах для детских садов и школ | Musikbühne Mannheim"
"Basteln für den Christkindlmarkt","Ремесло для рождественского рынка"
"Adventsbasar des Frauenbund Tittmoning","Адвент-базар Ассоциации женщин Титтмонинга"
"Staudach-Egerndacher Adventsmarkt","Адвентный рынок Штаудах-Эгерндах"
"Dorflauf Geigelstoa Pass","Деревенский перегон Гейгельстоа"
"Eröffnung des Traunsteiner Christkindlmarkts","Открытие рождественского рынка в Траунштайне"
"Wintermarkt am Dorfplatz","Зимний рынок на деревенской площади"
"Traunsteiner Christkindlmarkt","Рождественский рынок в Траунштайне"
"Advent beim Ott","Адвент в Отте"
"Wine & Dine mit Weingut Fumanelli","Вино и ужин с винодельней Fumanelli"
"Abschlussübung FFW Tettenhausen","Заключительное упражнение FFW Tettenhausen"
"Adventskonzert - Marquart Ensemble","Адвентский концерт - Ансамбль Маркварта"
"Abschlusskonzert Meisterkurs Horn","Заключительный концерт мастер-класса рога"
"Jahreshauptvervammlung KSK Wonneberg","Ежегодное общее собрание KSK Wonneberg"
"Christian Maier - Beste Zeiten","Кристиан Майер - Лучшие времена"
"DEC Frillensee Inzell - EV Mittenwald","DEC Frillensee Inzell - EV Mittenwald"
"Da Meier & da Watschnbaam","Да Майер и да Ватшнбаам"
"Night Of The Piano","Ночь фортепиано"
"John Garner","Джон Гарнер"
Adventskranzbinden,"Изготовление адвентного венка"
"Siegsdorfer Krippenweg","Тропа для раскладушек в Зигсдорфе"
"Inzeller Falkensteinpokal","Кубок Фалькенштейна в Инцелле"
"Frauengemeinschaft Erlstätt: Adventsausflug nach Berchtesgaden","Фрауенгемайншафт Эрльштетта: адвент-экскурсия в Берхтесгаден"
"Adventsbasar mit Frühstück","Адвент-базар с завтраком"
"Schnupperkurs zum Erlernen der Quadrille Francaise","Дегустационный курс по изучению французской кадрили"
"Rechte und Pflichten in einer WEG","Права и обязанности в ОГЭ"
"Basteln mit Schafwolle | Programm Christkindlmarkt","Поделки из овечьей шерсти | Программа рождественского рынка"
"Advent in Bergen - Christkindlmarkt","Адвент в Бергене - рождественский рынок"
"Kirchheimer Advent","Кирххайм Адвент"
"Seniorenadvent des kath. Frauenbundes Chieming","Адвент пожилых людей Ассоциации католических женщин Чиеминг"
"Der gestiefelte Kater | Musikbühne Mannheim","Кот в сапогах | Musikbühne Mannheim"
"FFW Wolkersdorf: Adventsumdrunk","FFW Wolkersdorf: адвентный напиток"
"Marquartsteiner Adventsgarten","Сад адвентов в Марквартштайне"
"Christbaumverkauf Truchtlaching","Продажа рождественских елей Трухтлахинг"
"Fridolfinger Advent","Фридольфинг Адвент"
"Christbaumaufstellen in Kay","Установка рождественской елки в Кей"
"Christkindlmarkt Mietenkam","Рождественский рынок Митенкам"
"Wanderung in den Advent","Поход в сезон Адвента"
"Musik vom und fürs Herz | Programm Christkindlmarkt","Музыка из сердца и для сердца | Программа рождественского рынка"
"Musi-Abend mit der Auzinger Wirthausmusi","Музыкальный вечер с Аузингер Виртаусмузи"
"Im Licht der Kerzen - Literatur und Musik","В свете свечей - литература и музыка"
"SKK Grabenstätt: Glühweinstand","SKK Grabenstätt: подставка для глинтвейна"
"Grün-Ober-Verein: Weihnachtsfeier","Grün-Ober-Verein: Рождественская вечеринка"
"Roswitha Braeu: Lesung aus ihrem Buch ""Gedanken zu verschenken""","Розвита Брау: Чтение из ее книги ""Мысли, которые нужно раздать"""
"Johanna Bittenbinder & Charly Braun feat. Art Ensemble of Passau","Йоханна Биттенбиндер и Шарли Браун при участии Художественного ансамбля Пассау"
"The Sixsters",Сикстеры
Jugendfußballturnier,"Молодежный футбольный турнир"
"Ottinger Adventsmarkt","Адвентный рынок Оттингера"
"Truchtlachinger Dorfweihnacht","Рождество в деревне Трюхтлахингер"
"Aktion im Klosterladen: Kalligrafie-Werkstatt mit Gisela zur Strassen","Акция в монастырской лавке: мастер-класс по каллиграфии с Гизелой цур Штрассен"
"Weihnachtsbasteln | Programm Christkindlmarkt","Рождественские поделки | Программа рождественского базара"
"Tenglinger Adventsmarkt","Адвентный рынок Тенглингера"
"Die Eiskönigin kommt an den Rathausplatz","Ледяная королева приходит на ратушную площадь"
"EOFT - European Outdoor Filmtour","EOFT - Европейский тур фильмов на открытом воздухе"
"Böllerschießen in Taching","Стрельба петардами в Тачинге"
"Musikkapelle Surberg-Lauter | Programm Christkindlmarkt","Группа Surberg-Lauter | Программа рождественского базара"
"Advent für die Seele","Адвент для души"
"Ricardo Volkert & Ensemble: Feliz Navidad! Andalusische Weihnacht und Flamenco","Рикардо Фолькерт и ансамбль: ""Feliz Navidad! Андалузское Рождество и фламенко"
"Traditionelles Adventskonzert mit dem Achental Chor","Традиционный адвентский концерт с участием хора Achental"
"DEC Frillensee Inzell - EA im TSV Schongau 1863 1b","DEC Frillensee Inzell - EA в TSV Schongau 1863 1b"
"Bayernand | Programm Christkindlmarkt","Программа рождественского базара в Байернанде"
Adventssingen,"Адвентское пение"
"Die Sehnsucht nach Romantik","Тоска по романтике"
"Agar et Ismaele esiliati | ensemble Amphion","Агарь и Исмаил Эсилиати | ансамбль Амфион"
"Musik im Museum – Martin Steinack und Charlotte Lang","Музыка в музее - Мартин Штайнак и Шарлотта Ланг"
"Adventssingen ""Staada werds""","Адвентное пение ""Staada werds"""
"Volksmusik im Advent","Народная музыка в Адвенте"
Leonhardi,Леонгарди
"Tag der offenen Tür im Patch-Work Seeon","День открытых дверей в Patch-Work Seeon"
"Publikumslauf auf der 400 m-Bahn","Публичный забег на 400-метровой дорожке"
"Baby- und Kleinkindtreff","Клуб для малышей и детей ясельного возраста"
"Kleine Helden retten","Спасение маленьких героев"
Gemäldeausstellung,"Выставка живописи"
"Villen und Veteranen - Zur Landwirtschaft im römischen Bayern","Виллы и ветераны - Сельское хозяйство в римской Баварии"
"Seniorennachmittag Tengling","Послеобеденный тенглинг для пожилых людей"
Stadtplatzgespräche,"Беседы на городской площади"
"Aquatraining mit Heidi","Акватренинг с Хайди"
"Kneippverein Wandergruppe: Herbstliche Wanderung","Походная группа ассоциации ""Кнайп"": осенний поход"
"Öffentliche Seniorenbeiratssitzung","Открытое заседание консультативного совета пожилых людей"
"Treff Alt und Jung Hl. Kreuz","Встреча старых и молодых хл. Кройц"
"Aquatraining mit Jiri","Акватренинг с Иржи"
"GTEV D Buchwäldler Übersee e.V. - Volkstanzkurs","GTEV D Buchwäldler Übersee e.V. - Курс народного танца"
"Klimademo - Traunstein for Future","Климатическая демонстрация - Траунштайн для будущего"
"Böhmischer Abend der Musikkapelle Wössen","Богемный вечер группы Wössen"
"Helmut Binser ""Ha?"" - Kabarett - Ausverkauft!","Хельмут Бинзер ""Ха?"" - Кабаре - Продано!"
"Traunsteiner Ski-Basar","Лыжный базар в Траунштайне"
"Schnupperschießen in Seebruck","Пробные съемки в Зеебруке"
"Live Musik im Bacchus","Живая музыка в ресторане Bacchus"
"DJ Julian & Berger in der Holzstube","DJ Julian & Berger в Holzstube"
"Cantiamo Chor - musik für esilalei","Хор Кантиамо - музыка для эсилалеи"
"GestaltZeit: Dein Atem - Schlüssel zu Entspannung und innerer Stärke","GestaltZeit: Ваше дыхание - ключ к расслаблению и внутренней силе"
"Argentinien - Bilder und Filmvortrag","Аргентина - Фотографии и презентация фильма"
"Wir hören viele Sprachen - Bundesweiter Vorlesetag","Мы слышим много языков - Общенациональный день чтения вслух"
"Puppentheater - Pettersson & Findus","Кукольный театр - Петтерссон и Финдус"
"DAV Bergwanderung auf den Schafberg","Горный поход DAV на гору Шафберг"
"Advents- und Weihnachtsdeko-Flohmarkt","Блошиный рынок адвента и рождественских украшений"
"Erzählcafé - Studienseminar früher und heute","Кафе рассказов - семинар по изучению прошлого и настоящего"
"Helferkreis Grabenstätt: Grabenstätter Christkindl","Helferkreis Grabenstätt: Grabenstätter Christkindl"
"Junge Leute Helfen","Молодые люди помогают"
"Weihnachtsfeier FFW Wonneberg","Рождественская вечеринка FFW Воннеберг"
"Mitch & The Buchannons in der Holzstube","Митч и Бакэнноны в Хольцштубе"
"Rund um DFeldwies im Advent","Вокруг DFeldwies в Адвенте"
"30. Adventssingen","30-е пение Адвента"
"Adventliche Klänge aus der Musikschule Traunstein | Programm Christkindlmarkt","Звуки Адвента из музыкальной школы Траунштайна | Программа рождественского базара"
"Chiemsee-Kasperltheater: Kasperl & das verirrte Christkind","Шоу пунша и Джуди на Хиемзее: Касперль и потерянный младенец"
"Romantische Fackelwanderung ""Abendliches Reit im Winkl""","Романтический поход с факелами ""Вечерний Рейт им Винкль"""
"CHG Juniorband & Jazz GmbH | Programm Christkindlmarkt","CHG Juniorband & Jazz GmbH | Программа ""Рождественский рынок"
"Hundeernährung - gewusst wie?!","Кормление собак - знаете ли вы, как это делается?"
"BACH Pilgrimage II","BACH Паломничество II"
"""Digitaler Nachlass""","""Цифровое поместье"""
"Puppentheater | Programm Christkindlmarkt","Кукольный театр | Программа рождественского базара"
"Informationsabend für Schwangere","Информационный вечер для беременных женщин"
"Bergen. Jahreshauptversammlung Soziale Bürgerhilfe","Берген Ежегодное общее собрание Социальная помощь гражданам"
"Weisenblasen auf dem Traunsteiner Christkindlmarkt","Вайзенблазен на рождественском рынке в Траунштайне"
"Alexander Huber","Александр Губер"
"INN-KOGNITO | Programm Christkindlmarkt","INN-KOGNITO | Программа рождественского базара"
"Perchtenlauf Tittmoning","Перхтенлауф Титтмонинг"
"Abschlusskonzert Meisterkurs Flöte","Заключительный концерт мастер-класса по игре на флейте"
Engelamt,"Офис ангела"
"Engelamt Taching","Обучение в офисе Ангела"
"Adventsausstellung im Atelier im Stall","Адвентная выставка в Ателье им Шталь"
"Inzeller Winterzauber","Зимнее волшебство в Инцелле"
"Traditioneller Nikolausbesuch | Programm Christkindlmarkt","Традиционный визит Святого Николая | программа рождественского базара"
"Bauchtanz für Selbstbewusstsein und Ausdruck","Танец живота для уверенности в себе и самовыражения"
Krampuslauf,"Бег Крампуса"
"Neumond-Räucherritual im Tipi im Ruhpoldinger Tal","Ритуал воскурения новолуния в типи в долине Рупольдинг"
"Die Calzinger Show!! | Beppo Calzone","Шоу Кальцингера!!!| Beppo Calzone"
"Punzis Music Circle","Музыкальный кружок Пунци"
"Stefanie Bolz mit Band","Штефани Больц с группой"
"Kindertag im PAPILLON - Der Nikolaus kommt ins PAPILLON","Детский день в PAPILLON - Святой Николай приходит в PAPILLON"
"Weihnachtsfeier des VDK Chieming-Hart","Рождественская вечеринка VDK Chieming-Hart"
"Unterlandler Christkindlmarkt","Рождественский рынок Унтерландлера"
"KSK und Vdk Erlstätt: Adventsfeier","KSK и Vdk Erlstätt: адвент-вечеринка"
"Knallwut - ein Hoch auf die Gefühle | die exen & flunker productions","Knallwut - a high on emotions | die exen & flunker productions"
"Christkindlmarkt im Bergsteigerdorf Schleching","Рождественский рынок в альпинистской деревне Шлехинг"
"Seeoner Werkstattweihnacht bei alpes-tonewood","Рождественская мастерская Seeon в alpes-tonewood"
"Adventskonzert der Stadtmusik Traunstein","Адвентский концерт Штадтмузик Траунштайн"
"RosenKavaliere: Engel hoch vom Himmel singen","RosenKavaliere: Ангелы поют с небес"
"Lesung zum Advent","Адвентское чтение"
"Advent in Taching","Адвент в Тачинге"
"Community-Treffen im ORT","Встреча сообщества в ОРТ"
Böllerschießen,"Стрельба петардами"
"Hl. Nikolaus","Святой Николай"
"10 Jahre Mirage Show | Tanja Silzer Events","10 лет Mirage Show | Tanja Silzer Events"
"Depeche Mode Club","Клуб Depeche Mode"
"El Flecha Negra - 10 años Fiesta Tour","El Flecha Negra - 10 años Fiesta Tour"
"Nikolausparty im PAPILLON","Вечеринка в честь Святого Николая в PAPILLON"
"Bergen: Modelleisenbahnbörse","Берген: биржа моделей железных дорог"
"Aktion im Klosterladen: Kymsee Whisky","Акция в монастырском магазине: виски Kymsee"
Selbstverteidigungsseminar,"Семинар по самообороне"
Emilsson-Quartett,"Квартет Эмильссона"
"Heitauer Tagesfahrt: Schwimmender Christkindlmarkt Vilshofen","Однодневная экскурсия по Хайтау: плавучий рождественский рынок в Вильсхофене"
"AUTländisch.family der Salzburger Nockerl: Winterkonzert","AUTländisch.family из Зальцбургского ноктюрна: зимний концерт"
"Adventsfeier VdK","Адвент-вечеринка VdK"
"Mozarts Schlittenfahrt - Kinderkonzert","Катание на санях Моцарта - детский концерт"
"Sternschnuppe ""Winterlieder""","Падающая звезда ""Зимние песни"""
"Blaskapelle Traunwalchen | Programm Christkindlmarkt","Духовой оркестр Traunwalchen | Программа рождественского базара"
"TSV/GTEV Grabenstätt: Nikolausfeier","TSV/GTEV Grabenstätt: праздник Святого Николая"
"Bergen. Musikalische Weihnachtsroas","Берген. музыкальный рождественский роас"
"Sankt Valentiner Seelenzuckerl: „Alpenländischer Advent“","Конфеты для души святого Валентина: ""Альпийский адвент"""
"Wössner Adventsingen","Адвентное пение Вёсснера"
"A bissal staade Zeit","Время биссала"
"""Auf Wiederkaun"" - so eine musikalische Kripperlgschicht!","""Auf Wiederkaun"" - такой музыкальный Kripperlgschicht!"
"Konzert im Advent mit dem Duo HARFE.HORN: „A bissal staade Zeit“","Адвент-концерт с дуэтом HARFE.HORN: ""A bissal staade Zeit"""
"Alpenländisches Adventsingen","Альпийские песнопения"
"Swing into Christmas | The Hot Stuff Jazzband","Swing into Christmas | The Hot Stuff Jazzband"
"DEC Frillensee Inzell - ESC Holzkirchen","DEC Frillensee Inzell - ESC Holzkirchen"
Weihnachtsturnen,"Рождественская гимнастика"
Barbarafeier,"День святой Варвары"
"Siegsdorfer Adventshütte am Rathausplatz","Адвентская хижина Зигсдорфа на ратушной площади"
"Musik aus dem AKG | Programm Christkindlmarkt","Музыка из программы рождественского базара AKG |"
Schnalzerversammlung,"Встреча шнауцеров"
Senioren-Adventsfeier,"Празднование Адвента для пожилых людей"
"Weihnachtslieder selber singen","Пойте рождественские гимны сами"
"Soulfulflow Yoga - Reformer Pilates","Soulfulflow Yoga - Reformer Pilates"
"Bergen. Frühstücks-Buffet in der Panoramagaststätte","Завтрак ""шведский стол"" в панорамном ресторане"
"Soldaten- und Kriegerkameradschaft Grabenstätt: Jahreshauptversammlung 2025","Солдатское и боевое товарищество Грабенштетта: ежегодное общее собрание 2025 года"
"Oimarische Musi auf der Hutzenalm","Оймарише Музи в Хутценальме"
Weihnachtsausstellung,"Рождественская выставка"
